Team,Level,Source,Target,Rule,Notes
Sonic,Seaside Hill,Start,Triple Spring Start,FlyingOneCharORRuinsNoTriggerSonicSH,can be made with dash panel tornado and homing (tornado not needed)
Sonic,Seaside Hill,Triple Spring Start,Start,NOTPOSSIBLE,Big Collision Wall
Sonic,Seaside Hill,Triple Spring Start,Between Triple Spring and Spring,FlyingFullORTripleSpringSonicSH,can be made with tails only (doesn't need bounce)
Sonic,Seaside Hill,Triple Spring Start,Before Jump Pad,(FlyingCharORGlideORHoming0)ANDRainbowHoopsANDTripleSpringSonicSH,
Sonic,Seaside Hill,Between Triple Spring and Spring,Triple Spring Start,,
Sonic,Seaside Hill,Between Triple Spring and Spring,Before Jump Pad,(HeightFlyAND(RainbowHoopsORSingleSpring))ORFlyingOneCharOR(HeightJumpANDSingleSpringANDTornadoHover)OR((HeightFlyJumpOR(HeightThundershootANDParkour))ANDRuinsNoTriggerANDSingleSpring)SonicSH,Can be made with thundershoot full stack and single spring (collision)
Sonic,Seaside Hill,Before Jump Pad,Between Triple Spring and Spring,,
Sonic,Seaside Hill,Before Jump Pad,Checkpoint 1,DashRampSonicSH,
Sonic,Seaside Hill,Checkpoint 1,Before Jump Pad,NOTPOSSIBLE,
Sonic,Seaside Hill,Checkpoint 1,Hermit Crab Cliff Below Eggmans Robots,FlyingAnySonicSH,is possible with DashPanel only
Sonic,Seaside Hill,Checkpoint 1,Eggmans Robots Bottom,DashPanelORSpeedCharSonicSH,
Sonic,Seaside Hill,Eggmans Robots Bottom,Checkpoint 1,(HeightComboANDHeightFlyNoJumpSolo)ORHeightFlyThundershootORHeightJumpSonicSH,
Sonic,Seaside Hill,Eggmans Robots Bottom,Hermit Crab Cliff Below Eggmans Robots,HeightComboFlyJumpThundershootSonicSH,
Sonic,Seaside Hill,Hermit Crab Cliff Below Eggmans Robots,Eggmans Robots Bottom,(HeightComboFlyJumpThundershootANDSingleSpring)ORFlyingOneCharSonicSH,
Sonic,Seaside Hill,Eggmans Robots Bottom,Eggmans Robots Middle,(BreakThingsANDSingleSpring)OR(((EggPawnNoWeaponANDHoverFrame)ORSmallStonePlatform)ANDHeightJumpANDParkour)ORHeightFlyOR(HeightJumpANDThundershoot)SonicSH,
Sonic,Seaside Hill,Eggmans Robots Middle,Eggmans Robots Bottom,,
Sonic,Seaside Hill,Eggmans Robots Middle,Eggmans Robots Top,(BreakThingsANDTripleSpring)OR(HeightJumpANDParkour)ORHeightFlyOR(HeightJumpANDThundershoot)SonicSH,
Sonic,Seaside Hill,Eggmans Robots Top,Eggmans Robots Middle,,
Sonic,Seaside Hill,Eggmans Robots Top,ItemBox Cliff after Eggmans Robots,HeightFlyOR(HeightJumpAND(ParkourORTornadoHover))SonicSH,difficult parkour
Sonic,Seaside Hill,ItemBox Cliff after Eggmans Robots,Eggmans Robots Top,,
Sonic,Seaside Hill,Eggmans Robots Top,Top Cliff Route with Hermit Crab,(FlyingFull)OR(DashRingAND(HeightJumpANDRuinsNoTrigger)OR(HeightFly))SonicSH,is possible with Dash Ring and Sonic Jump
Sonic,Seaside Hill,Top Cliff Route with Hermit Crab,Eggmans Robots Top,,
Sonic,Seaside Hill,Eggmans Robots Top,Bottom Cliff Route,,
Sonic,Seaside Hill,Bottom Cliff Route,Eggmans Robots Top,,
Sonic,Seaside Hill,Top Cliff Route with Hermit Crab,Triple Spring Before Bonus Key 1,(HeightFlyORTripleSpring)AND(HeightFlyJumpORHeightFlyNoJumpSoloORSingleSpring)SonicSH,
Sonic,Seaside Hill,Bottom Cliff Route,Triple Spring Before Bonus Key 1,SingleSpringSonicSH,
Sonic,Seaside Hill,Triple Spring Before Bonus Key 1,Bottom Cliff Route,,
Sonic,Seaside Hill,Triple Spring Before Bonus Key 1,Top Cliff Route with Hermit Crab,FlyingFullSonicSH,
Sonic,Seaside Hill,Triple Spring Before Bonus Key 1,Bonus Key 1,(BreakThingsANDTripleSpring)ORHeightFlyJumpOR(HeightFlyNoJumpSoloANDParkour)SonicSH,
Sonic,Seaside Hill,Triple Spring Before Bonus Key 1,4 Egg Pawns,BreakThingsANDDashRingANDTripleSpringSonicSH,
Sonic,Seaside Hill,Bonus Key 1,Triple Spring Before Bonus Key 1,,
Sonic,Seaside Hill,Bonus Key 1,4 Egg Pawns,HeightFlyOR(HeightFlyNoJumpSoloANDParkour)ORTripleSpringSonicSH,
Sonic,Seaside Hill,4 Egg Pawns,Bonus Key 1,,
