Team,Level,Source,Target,Rule,Notes
Dark,Seaside Hill,Start,ObjSanity,,
Dark,Seaside Hill,ObjSanity,Start,,
Dark,Seaside Hill,Start,After Beginning Falling Ruins,(DashPanelANDJumpANDMedium)OR(FlyAnyAND(DashPanelORJump))ORRuinsNoTrigger,NoControlTime to be reduced
Dark,Seaside Hill,After Beginning Falling Ruins,Start,NOTPOSSIBLE,
Dark,Seaside Hill,After Beginning Falling Ruins,Beginning Flower Patch,(BadnikBounceANDFlyAnyANDJump)OR(FlyOneCharANDJump)ORTripleSpring,
Dark,Seaside Hill,Beginning Flower Patch,After Beginning Falling Ruins,,
Dark,Seaside Hill,Beginning Flower Patch,Lower Path After Beginning Flower Patch,,
Dark,Seaside Hill,Lower Path After Beginning Flower Patch,Beginning Flower Patch,(TripleSpringAND(GlideOR(Homing0ANDTornado0Hover)))ORJump,
Dark,Seaside Hill,Beginning Flower Patch,Lower Path After Beginning Flower Patch,FlyAnyANDJump,
Dark,Seaside Hill,Lower Path After Beginning Flower Patch,Upper Path After Beginning Flower Patch,(FlyOneCharANDJump)ORTripleSpring,
Dark,Seaside Hill,Upper Path After Beginning Flower Patch,Lower Path After Beginning Flower Patch,,
Dark,Seaside Hill,Upper Path After Beginning Flower Patch,First Loop,DashRamp,
Dark,Seaside Hill,First Loop,Upper Path After Beginning Flower Patch,NOTPOSSIBLE,
Dark,Seaside Hill,First Loop,Eggmans Robots Bottom,,
Dark,Seaside Hill,Eggmans Robots Bottom,First Loop,,
Dark,Seaside Hill,First Loop,Hermit Crab Cliff Below Eggmans Robots,FlyAnyANDJump,
Dark,Seaside Hill,Hermit Crab Cliff Below Eggmans Robots,First Loop,FlyAnyORJump,
Dark,Seaside Hill,Eggmans Robots Bottom,Hermit Crab Cliff Below Eggmans Robots,ComboHeightORJumpORThundershoot0,
Dark,Seaside Hill,Hermit Crab Cliff Below Eggmans Robots,Eggmans Robots Bottom,((ComboHeightORJumpORThundershoot0)ANDSingleSpring)OR(FlyAnyANDJump),
Dark,Seaside Hill,Eggmans Robots Bottom,Eggmans Robots Middle,FlyOneCharOR(FlyAnyANDJump)ORTripleSpringOR(BadnikBounceANDJump),
Dark,Seaside Hill,Eggmans Robots Middle,Eggmans Robots Bottom,,
Dark,Seaside Hill,Eggmans Robots Bottom,Eggmans Robots Top,(DashRingANDTripleSpring)ORDashRingANDFlyAnyANDJumpORDashRingANDJumpANDTornado0HoverORTripleSpringANDHoming0ANDTornado0Hover,
Dark,Seaside Hill,Eggmans Robots Middle,Eggmans Robots Top,(FlyAnyANDJump)OR(FlyOneChar)ORDashRingOR(SingleSpringAND(FlyOneCharORJump)),
Dark,Seaside Hill,Eggmans Robots Top,Eggmans Robots Middle,,
Dark,Seaside Hill,Eggmans Robots Top,Small Cliff Above Eggmans Robots,FlyOneCharORJump,
Dark,Seaside Hill,Small Cliff Above Eggmans Robots,Eggmans Robots Top,,
Dark,Seaside Hill,Eggmans Robots Top,Bonus Key 1,,
Dark,Seaside Hill,Bonus Key 1,Eggmans Robots Top,,
Dark,Seaside Hill,Eggmans Robots Top,Top Cliff Route With Hermit Crab,DashRampAND(BreakThingsORFlyOneCharORJump),
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,Bottom Cliff Route,,
Dark,Seaside Hill,Eggmans Robots Top,Bottom Cliff Route,,
Dark,Seaside Hill,Bottom Cliff Route,Eggmans Robots Top,,
Dark,Seaside Hill,Bottom Cliff Route,Staircase Before Corner Cave Bottom,SingleSpring,
Dark,Seaside Hill,Staircase Before Corner Cave Bottom,Bottom Cliff Route,,
Dark,Seaside Hill,Staircase Before Corner Cave Bottom,Checkpoint 1,,
Dark,Seaside Hill,Checkpoint 1,Staircase Before Corner Cave Bottom,,
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,Staircase Before Corner Cave Bottom,FlyAnyORJump,RocketAccel Possible
Dark,Seaside Hill,Staircase Before Corner Cave Bottom,Staircase Before Corner Cave Bottom Item Balloon,FlyAnyORJump,
Dark,Seaside Hill,Bottom Cliff Route,Staircase Before Corner Cave Bottom Item Balloon,FlyAnyANDSingleSpring,
Dark,Seaside Hill,Staircase Before Corner Cave Bottom,Staircase Before Corner Cave Bottom Item Balloon,(FlyAnyANDJump)ORFlyFull,
Dark,Seaside Hill,Staircase Before Corner Cave Bottom,Staircase Before Corner Cave Middle,FlyAnyORJump,
Dark,Seaside Hill,Staircase Before Corner Cave Middle,Staircase Before Corner Cave Bottom,,
Dark,Seaside Hill,Staircase Before Corner Cave Middle,Staircase Before Corner Cave Top,FlyAnyOR(Homing0ANDHoverFrameANDJumpANDRedFlapper)OR(JumpANDKillRedFlapperJumpANDTornado0Hover),red flappers in air (can reach with jump)
Dark,Seaside Hill,Staircase Before Corner Cave Top,Staircase Before Corner Cave Middle,,
Dark,Seaside Hill,Staircase Before Corner Cave Top,Ruin Before Corner Cave,FlyAnyOR(BadnikBounceANDHoming0ANDJumpAND(RedFlapperORGreenShot))OR(JumpANDKillRedFlapperJumpANDKillGreenShotJumpANDTornado0Hover),possible with Jump and hover frames and enemy
Dark,Seaside Hill,Ruin Before Corner Cave,Staircase Before Corner Cave Top,,
Dark,Seaside Hill,Ruin Before Corner Cave,Corner Cave,,
Dark,Seaside Hill,Corner Cave,Ruin Before Corner Cave,FlyAnyANDJumpORFlyAnyANDThundershoot0ORFlyAnyAND(ComboHeightANDParkour)ORCollisAbuseANDJumpANDSpeedCharORHoming0HoverANDJump,
Dark,Seaside Hill,Corner Cave,First Island,DashRamp,
Dark,Seaside Hill,First Island,Corner Cave,NOTPOSSIBLE,
Dark,Seaside Hill,First Island,First Island Cannon Speed,CannonANDJumpANDSpeedChar,run into cannon fast enough
Dark,Seaside Hill,First Island,First Island Cannon Power,CannonAND(ComboHeightORJump)ANDPowerChar,
Dark,Seaside Hill,First Island,First Island Cannon Flying,CannonAND(JumpORThundershoot0)ANDFlyingChar,
Dark,Seaside Hill,First Island Cannon Speed,Second Island,,
Dark,Seaside Hill,First Island Cannon Power,First Ruin Between First and Second Island,RuinsNoTriggerANDTripleSpring,
Dark,Seaside Hill,First Island Cannon Power,Second Ruin Between First and Second Island,RuinsTrigger,
Dark,Seaside Hill,First Island Cannon Flying,First Island Top Pillar Right,,
Dark,Seaside Hill,First Island Top Pillar Right,First Island Top Pillar Left,FlyAnyOR(Homing0ANDJumpANDTornado0Hover),
Dark,Seaside Hill,First Island Top Pillar Left,First Island Top Pillar Right,FlyAnyOR(Homing0ANDJumpANDTornado0Hover),easier than R?L (don't need homing)
Dark,Seaside Hill,First Island Top Pillar Right,First Island,,
Dark,Seaside Hill,First Island Top Pillar Left,First Island,,
Dark,Seaside Hill,First Island Top Pillar Right,First Ruin Between First and Second Island,RuinsNoTrigger,
Dark,Seaside Hill,First Island Top Pillar Left,First Ruin Between First and Second Island,RuinsNoTrigger,
Dark,Seaside Hill,First Island Top Pillar Right,Third Ruin Between First and Second Island,(FlyAnyORJump)ANDRuinsNoTrigger,
Dark,Seaside Hill,First Island Top Pillar Left,Third Ruin Between First and Second Island,(FlyAnyOR(JumpAND(Homing0ORTornado0HoverORGlide)))ANDRuinsNoTrigger,
Dark,Seaside Hill,First Island Top Pillar Right,Second Island,DashRamp,
Dark,Seaside Hill,First Island Top Pillar Right,Second Island High Item Balloon,DashRampANDDashRingANDFlyAny,
Dark,Seaside Hill,First Island,First Ruin Between First and Second Island,FlyAnyAND(JumpORThundershoot0)ANDRuinsNoTrigger,
Dark,Seaside Hill,First Ruin Between First and Second Island,First Island,,
Dark,Seaside Hill,First Ruin Between First and Second Island,First Island Top Pillar Left,((CollisAbuseAND((FlyOneCharANDFlyDepleteBoost)ORFlyFull)OR(FlyAnyANDFlyGroundBounce))ANDJump)OR(FlyAnyANDFlyGroundBounceNoJump),need to start on Block
Dark,Seaside Hill,First Ruin Between First and Second Island,Second Ruin Between First and Second Island,RuinsTriggerAND(FlyAnyORJumpORTripleSpring),
Dark,Seaside Hill,Second Ruin Between First and Second Island,First Ruin Between First and Second Island,RuinsNoTriggerAND(FlyAnyORJump),
Dark,Seaside Hill,First Ruin Between First and Second Island,Third Ruin Between First and Second Island,((TripleSpringAND(FlyAnyORGlideORHoming0))OR(FlyAnyANDJump))ANDRuinsNoTrigger,
Dark,Seaside Hill,Third Ruin Between First and Second Island,First Ruin Between First and Second Island,(FlyAnyOR(Homing0ANDJump))ANDRuinsNoTrigger,
Dark,Seaside Hill,Second Ruin Between First and Second Island,Third Ruin Between First and Second Island,(FlyAnyORJump)ANDRuinsNoTrigger,
Dark,Seaside Hill,Third Ruin Between First and Second Island,Second Ruin Between First and Second Island,NOTPOSSIBLE,
Dark,Seaside Hill,Third Ruin Between First and Second Island,Second Island,,
