Team,Level,Region,Name,Rule,LinkID,Type,NumRings,Length,Radius,X,Y,Z,ID Offset,Notes,Notes 2
Dark,Seaside Hill,After Beginning Falling Ruins,4 Rings Before Dash Ramp,Rings,100,Line,4,220,0,-0.0005,150,850.0001,0,link doesn't matter?,
Dark,Seaside Hill,After Beginning Falling Ruins,6 Rings Left,Rings,0,Line,6,240,0,-20.3162,46,-857.9999,0,left,
Dark,Seaside Hill,After Beginning Falling Ruins,6 Rings Center,Rings,0,Line,6,240,0,-0.3162,46,-857.9999,0,center,
Dark,Seaside Hill,After Beginning Falling Ruins,6 Rings Right,Rings,0,Line,6,240,0,19.6838,46,-857.9999,0,right,
Dark,Seaside Hill,Upper Path After Beginning Flower Patch,4 Rings Left,Rings,0,Line,4,180,0,-5.9997,106.0003,-2728,0,left,
Dark,Seaside Hill,Upper Path After Beginning Flower Patch,4 Rings Right,Rings,0,Line,4,180,0,6.0003,106.0003,-2728,0,right,
Dark,Seaside Hill,First Loop,4 Rings,Rings,0,Line,4,200,0,0,36.1314,-4622,0,,
Dark,Seaside Hill,Eggmans Robots Bottom,2 Rings At Start of Ring Line,Rings,0,Normal,2,65,230,152.294,340,-6375.695,0,The 2 rings are the exact same pos (should be line),
Dark,Seaside Hill,Eggmans Robots Bottom,10 Rings In Ring Line,Rings,0,Arch,10,370,230,152.294,337,-6435.695,0,,
Dark,Seaside Hill,Eggmans Robots Bottom,6 Rings Vertical,RingsAND(FlyAnyAND(JumpORThundershoot0)OR(JumpANDTripleSpring)),0,Line,6,100,0,-465.2492,373,-6580.921,0,complicated rule,
Dark,Seaside Hill,Staircase Before Corner Cave Bottom,4 Rings,Rings,0,Line,4,90,0,-2205.001,486,-6425,0,,
Dark,Seaside Hill,Corner Cave,7 Rings Line At Start of Trail,Rings,0,Line,7,280,1000,-4212.262,188,-6536.168,0,,
Dark,Seaside Hill,Corner Cave,10 Rings Arch in Trail,Rings,0,Arch,10,430,270,-4259.12,192,-6537.792,0,,
Dark,Seaside Hill,Corner Cave,1 Ring At End of Trail,Rings,0,Normal,1,430,270,-4508.022,189,-6878.146,0,,
Dark,Seaside Hill,Corner Cave,4 Rings Before Loop,Rings,0,Line,4,180,0,-4509.233,38,-7311.386,0,,
Dark,Seaside Hill,Corner Cave,6 Rings At Loop Left,Rings,0,Arch,6,330,202,-4543.649,51,-7781.153,0,left loop,
Dark,Seaside Hill,Corner Cave,6 Rings At Loop Right,Rings,0,Arch,6,330,202,-4453.649,49,-7781.153,0,right loop,
Dark,Seaside Hill,Second Ruin Between First and Second Island,3 Rings Left,Rings,0,Line,3,45,0,-4573.362,100.99,-11526.12,0,left,
Dark,Seaside Hill,Second Ruin Between First and Second Island,3 Rings Center,Rings,0,Line,3,45,0,-4553.362,100.99,-11526.12,0,center,
Dark,Seaside Hill,Second Ruin Between First and Second Island,3 Rings Right,Rings,0,Line,3,45,0,-4533.362,100.99,-11526.12,0,right,
Dark,Seaside Hill,First Bobsled After Block,5 Rings,Rings,0,Arch,5,130,180,-4273.527,110,-14666.9,0,,
Dark,Seaside Hill,First Bobsled After Block,4 Rings Left,Rings,0,Line,4,200,0,-4199.207,20.3052,-16207.65,0,left,
Dark,Seaside Hill,First Bobsled After Block,4 Rings Center,Rings,0,Line,4,200,0,-4179.207,20.3052,-16207.65,0,center,
Dark,Seaside Hill,First Bobsled After Block,4 Rings Right,Rings,0,Line,4,200,0,-4159.207,20.3052,-16207.65,0,right,
Dark,Seaside Hill,First Bobsled After Block,4 Rings At Last Turn,Rings,0,Arch,4,170,200,-3177.891,38,-16191.55,0,,
Dark,Seaside Hill,First Bobsled After Block,4 Rings After Last Turn,Rings,0,Line,4,120,0,-2620.324,36,-16149.16,0,,
Dark,Seaside Hill,First Bobsled After Block,4 Rings At Path End,Rings,0,Line,4,200,0,-2133.005,36,-16149.53,0,,
Dark,Seaside Hill,Big Ruin After First Bobsled,6 Rings ,Rings,0,Line,6,170,0,-1050.892,135.614,-16150.05,0,,
Dark,Seaside Hill,First Cliff Before Big Ruin Beach,4 Rings Vertical,RingsANDSingleSpringAND(FlyAnyORJumpORThundershoot0ORComboHeight),0,Line,4,80,0,66.0038,315,-16160.74,0,complicated rule,
Dark,Seaside Hill,Second Cliff Before Big Ruin Beach,4 Rings,Rings,0,Line,4,100,0,248.9631,391,-16178.3,0,,
Dark,Seaside Hill,Path Before Big Ruin Beach,3 Rings ,Rings,0,Line,3,70,0,730.0513,541,-16180.01,0,,
Dark,Seaside Hill,Path Before Big Ruin Beach,5 Rings,Rings,0,Arch,5,170,250,1100.383,541,-16267.82,0,,
Dark,Seaside Hill,Big Ruin Beach Island 2,10 Rings,Rings,0,Arch,10,400,300,1359.126,5.1,-18953.15,0,,
Dark,Seaside Hill,Big Ruin Beach Island 2,5 Rings,Rings,0,Line,5,230,0,1599.577,14,-19387.19,0,,
Dark,Seaside Hill,Big Ruin Beach End Path,4 Rings,Rings,0,Line,4,90,0,901.421,426,-20154.21,0,,
Dark,Seaside Hill,Path Before Volcano Start,6 Rings ,Rings,0,Line,6,300,0,900.1624,59,-21640.25,0,,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,4 Rings Left,Rings,0,Line,4,120,0,764.6441,208,-25992.69,0,,
Dark,Seaside Hill,Path After Big Special Ruin Before Volcano Loop,4 Rings Right,Rings,0,Line,4,120,0,776.6441,208,-25992.69,0,,
Dark,Seaside Hill,Second Bobsled,8 Rings,Rings,0,Line,8,400,0,880.7844,1954.13,-35162.68,0,,
Dark,Seaside Hill,Second Bobsled,5 Rings After First Turn,Rings,0,Line,5,250,0,-419.6664,843.1299,-37598.62,0,,
Dark,Seaside Hill,Second Bobsled,5 Rings After Spikeball,Rings,0,Line,5,250,0,558.0216,596.1299,-38609.15,0,,
Dark,Seaside Hill,Second Bobsled,4 Rings Before Last Turn,Rings,0,Line,4,200,0,2499,363.9998,-39218.5,0,,
Dark,Seaside Hill,Loop After Second Bobsled,15 Rings At Loop Center,Rings,0,Arch,15,900,610,-48.5919,161.4598,-40850.67,0,,
Dark,Seaside Hill,Big Loop,45 Rings,Rings,0,Arch,45,-999,-999,-999999,-999999,-999999,-999,is actually 1x12 22x1 1x11,
Dark,Seaside Hill,Big Loop,Ring 1,Rings,0,Normal,1,0,0,-253.9886,1028.187,-43278.38,1,,
Dark,Seaside Hill,Big Loop,Ring 2,Rings,0,Normal,1,0,0,-238.9886,1103.187,-43274.38,2,,
Dark,Seaside Hill,Big Loop,12 Rings Vertical,Rings,0,Line,12,900,0,-228.548,1183.187,-43269.41,3,,
Dark,Seaside Hill,Big Loop,Ring 15,Rings,0,Normal,1,900,410,-229.4876,2155.187,-43199.3,15,,
Dark,Seaside Hill,Big Loop,Ring 16,Rings,0,Normal,1,900,410,-231.635,2221.187,-43196.03,16,,
Dark,Seaside Hill,Big Loop,Ring 17,Rings,0,Normal,1,900,410,-242.8471,2281.187,-43188.27,17,,
Dark,Seaside Hill,Big Loop,Ring 18,Rings,0,Normal,1,900,410,-258.9836,2344.187,-43179.12,18,,
Dark,Seaside Hill,Big Loop,Ring 19,Rings,0,Normal,1,900,410,-285.1532,2413.187,-43166.44,19,,
Dark,Seaside Hill,Big Loop,Ring 20,Rings,0,Normal,1,900,410,-285.1532,2494.187,-43149.6,20,,
Dark,Seaside Hill,Big Loop,Ring 21,Rings,0,Normal,1,900,410,-385.2706,2563.187,-43131.55,21,,
Dark,Seaside Hill,Big Loop,Ring 22,Rings,0,Normal,1,900,410,-449.6578,2612.187,-43104.93,22,,
Dark,Seaside Hill,Big Loop,Ring 23,Rings,0,Normal,1,900,410,-526.1863,2642.187,-43073.35,23,,
Dark,Seaside Hill,Big Loop,Ring 24,Rings,0,Normal,1,900,410,-604.0718,2658.187,-43044.02,24,,
Dark,Seaside Hill,Big Loop,Ring 25,Rings,0,Normal,1,900,410,-674.9214,2655.187,-43015.41,25,,
Dark,Seaside Hill,Big Loop,Ring 26,Rings,0,Normal,1,900,410,-750.8811,2634.187,-42990.12,26,,
Dark,Seaside Hill,Big Loop,Ring 27,Rings,0,Normal,1,900,410,-823.7528,2598.187,-42965.23,27,,
Dark,Seaside Hill,Big Loop,Ring 28,Rings,0,Normal,1,900,410,-886.1153,2546.187,-42940.27,28,,
Dark,Seaside Hill,Big Loop,Ring 29,Rings,0,Normal,1,900,410,-924.1053,2486.187,-42925.95,29,,
Dark,Seaside Hill,Big Loop,Ring 30,Rings,0,Normal,1,900,410,-960.4724,2420.187,-42909.03,30,,
Dark,Seaside Hill,Big Loop,Ring 31,Rings,0,Normal,1,900,410,-976.2457,2354.187,-42899.91,31,,
Dark,Seaside Hill,Big Loop,Ring 32,Rings,0,Normal,1,900,410,-994.0707,2288.187,-42891.59,32,,
Dark,Seaside Hill,Big Loop,Ring 33,Rings,0,Normal,1,900,410,-1001.071,2221.187,-42885.59,33,,
Dark,Seaside Hill,Big Loop,Ring 34,Rings,0,Normal,1,900,410,-1003.071,2151.187,-42880.69,34,,
Dark,Seaside Hill,Big Loop,11 Rings Vertical,Rings,0,Line,11,800,0,-1006.071,2084.187,-42875.59,35,,
