Team,Level,Source,Target,Rule,Notes
Sonic,Seaside Hill,Start,After Beginning Falling Ruins,(JumpANDHoming0ANDTornado0Hover)OR(DashPanelANDJumpANDMedium)OR(FlyAnyAND(DashPanelORJump))ORRuinsNoTrigger,
Sonic,Seaside Hill,After Beginning Falling Ruins,Start,NOTPOSSIBLE,
Sonic,Seaside Hill,After Beginning Falling Ruins,Beginning Flower Patch,(FlyOneCharAND(JumpORFlyGroundBounceNoJump))ORTripleSpring,
Sonic,Seaside Hill,Beginning Flower Patch,After Beginning Falling Ruins,,
Sonic,Seaside Hill,After Beginning Falling Ruins,Lower Path After Beginning Flower Patch Ruins,RainbowHoopANDRuinsTriggerANDTripleSpring,
Sonic,Seaside Hill,After Beginning Falling Ruins,Upper Path After Beginning Flower Patch,RainbowHoopANDTripleSpring,
Sonic,Seaside Hill,Beginning Flower Patch,Lower Path After Beginning Flower Patch,,
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch,Beginning Flower Patch,(FlyAnyANDThundershoot0)ORJump,might be possible with only thundershoot (hard)
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch,Lower Path After Beginning Flower Patch Ruins,((FlyAnyANDThundershoot0)ORJump)ANDRuinsNoTrigger,
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch Ruins,Lower Path After Beginning Flower Patch,RuinsNoTrigger,
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch,Upper Path After Beginning Flower Patch,(FlyOneCharANDJump)OR(RuinsNoTriggerAND((FlyAnyAND(JumpORThundershoot0))OR(JumpANDSingleSpring))),
Sonic,Seaside Hill,Upper Path After Beginning Flower Patch,Lower Path After Beginning Flower Patch,,
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch Ruins,Upper Path After Beginning Flower Patch,(JumpORFlyAny)ANDRuinsNoTrigger,can be made with fly stack (no jump needed)
Sonic,Seaside Hill,Upper Path After Beginning Flower Patch,Lower Path After Beginning Flower Patch Ruins,(JumpORFlyAny)ANDRuinsNoTrigger,
Sonic,Seaside Hill,Upper Path After Beginning Flower Patch,First Loop,DashRamp,
Sonic,Seaside Hill,First Loop,Upper Path After Beginning Flower Patch,NOTPOSSIBLE,
