Team,Level,Region,Name,Type,SpecialType,Weapon,Armor,Shield,Height,RhinoAttack,RhinoPath,LinkID,Rule,X,Y,Z,Notes,Notes 2
Dark,Seaside Hill,After Beginning Falling Ruins,Egg Pawn,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,0,40,-1412,,
Dark,Seaside Hill,Eggmans Robots Bottom,Egg Pawn Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-331.5993,329.9996,-6572.702,left,
Dark,Seaside Hill,Eggmans Robots Bottom,Egg Pawn Center Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-294.9051,329.9996,-6602.96,center left,
Dark,Seaside Hill,Eggmans Robots Bottom,Egg Pawn Center Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-294.9051,329.9996,-6642.96,center right,
Dark,Seaside Hill,Eggmans Robots Bottom,Egg Pawn Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-334.5375,329.9996,-6666.054,right,
Dark,Seaside Hill,Eggmans Robots Middle,Red Flapper,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,-518.4742,469,-6665.969,can get with triple spring & homing,
Dark,Seaside Hill,Eggmans Robots Top,Egg Pawn Bazooka,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,-712.5491,530,-6630.392,,
Dark,Seaside Hill,Eggmans Robots Top,Egg Pawn,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothingAND(FlyAnyORJump),-735.9069,609.1093,-6552.866,on upper cliff,
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,Egg Pawn Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1818.239,620,-6368.518,left,
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,Egg Pawn Center,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1840.888,620,-6398.068,center ,
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,Egg Pawn Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-1799.18,620,-6423.996,right,
Dark,Seaside Hill,Staircase Before Corner Cave Middle,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Jump,,,10,KillRedFlapperJump,-2457.811,580,-6420.685,left,
Dark,Seaside Hill,Staircase Before Corner Cave Middle,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Jump,,,10,KillRedFlapperJump,-2457.811,580,-6460.685,right,
Dark,Seaside Hill,Staircase Before Corner Cave Top,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,-2670.235,670,-6430.016,left,
Dark,Seaside Hill,Staircase Before Corner Cave Top,Green Flapper Bazooka,Egg Flapper,,Bazooka,No Armor,,Jump,,,0,KillGreenFlapperBazookaJump,-2710.235,680,-6470.016,,
Dark,Seaside Hill,Staircase Before Corner Cave Top,Red Flapper Right,Egg Flapper,,No Weapon,No Armor,,Jump,,,0,KillRedFlapperJump,-2670.235,670,-6500.016,right,
Dark,Seaside Hill,First Island,Egg Pawn Left,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-4570.841,8.4525,-10741.49,left,
Dark,Seaside Hill,First Island,Egg Pawn Bazooka Center Left,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,-4550.841,8.4525,-10781.49,center left,
Dark,Seaside Hill,First Island,Egg Pawn Bazooka Center,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,-4500.841,8.4525,-10811.49,center ,
Dark,Seaside Hill,First Island,Egg Pawn Bazooka Center Right,Egg Pawn,Regular Pawn,Bazooka,,No Shield,Ground,,,0,KillEggPawnBazooka,-4450.841,8.4525,-10781.49,center right,
Dark,Seaside Hill,First Island,Egg Pawn Right,Egg Pawn,Regular Pawn,No Weapon,,No Shield,Ground,,,0,KillEggPawnNothing,-4430.841,8.4525,-10741.49,right,
Dark,Seaside Hill,Third Ruin Between First and Second Island,Red Flapper Left,Egg Flapper,,No Weapon,No Armor,,Ground,,,0,KillRedFlapperGround,-4593.362,130.99,-11706.12,left,
Dark,Seaside Hill,Third Ruin Between First and Second Island,Green Flapper Bazooka,Egg Flapper,,Bazooka,No Armor,,HalfJump,,,0,KillGreenFlapperBazookaHalfJump,-4553.362,140.99,-11736.12,,
