Team,Level,Name,ObjChecks,Rings,Rings Cont.,Enemies,Enemies Cont.,Items,Items Cont.,Other Stuff,Notes
Sonic,Seaside Hill,Start,0,0,,0,,0,,,
Sonic,Seaside Hill,ObjSanity,0,0,,0,,0,,,
Sonic,Seaside Hill,After Beginning Falling Ruins,0,8,1x8,0,,0,,TripleSpring,
Sonic,Seaside Hill,Beginning Flower Patch,0,0,,0,,0,,,
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch,0,0,,0,,0,,SingleSpring,
Sonic,Seaside Hill,Lower Path After Beginning Flower Patch Ruins,0,0,,0,,2,2x5Rings ,,
Sonic,Seaside Hill,Upper Path After Beginning Flower Patch,0,12,3x4,0,,0,,,
Sonic,Seaside Hill,First Loop,0,0,,0,,0,,HintRing,
Sonic,Seaside Hill,Eggmans Robots Bottom,0,10,1x3 1x7,3,3xnothing,0,,SingleSpring HintRing,
Sonic,Seaside Hill,Hermit Crab Cliff Below Eggmans Robots,0,0,,0,,1,Extra Life Box,SingleSpring,
Sonic,Seaside Hill,Eggmans Robots Middle,0,0,,0,,0,,TripleSpring,
Sonic,Seaside Hill,Eggmans Robots Top,0,5,1x1 2x2,1,bazooka ,1,10Rings Box,,balloon rule is (JumpANDSpeedChar)OR(JumpANDFlyAny)OR(FlyAnyANDThundershoot0)OR(JumpANDKillEggPawnBazookaANDTornado0Hover)
Sonic,Seaside Hill,Top Cliff Route With Hermit Crab,0,9,3x3,0,,0,,TripleSpring,
Sonic,Seaside Hill,Bottom Cliff Route,0,0,,0,,0,,5xSingleSpring,
Sonic,Seaside Hill,Staircase Before Corner Cave Bottom,0,3,1x3,0,,0,,TripleSpring,
Sonic,Seaside Hill,Staircase Before Corner Cave Bottom Item Balloon,0,0,,0,,1,Power Lvl Balloon,,
Sonic,Seaside Hill,Staircase Before Corner Cave Middle,0,0,,0,,0,,,
Sonic,Seaside Hill,Bonus Key 1,0,0,,0,,0,,,
Sonic,Seaside Hill,Staircase Before Corner Cave Top,0,0,,4,3xnothing bazooka,0,,,
Sonic,Seaside Hill,Corner Cave,0,40,1x6 1x7 1x10 1x1 1x4 2x6,0,,1,5Rings Box,,
Sonic,Seaside Hill,Checkpoint 2,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island,0,0,,3,,0,,,
Sonic,Seaside Hill,First Island Side Ruin,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island Side Ruin Triple Spring,0,0,,0,,0,,TripleSpring,
Sonic,Seaside Hill,First Island Item Balloon,0,0,,0,,1,Power Lvl Balloon,,
Sonic,Seaside Hill,First Island Cannon Speed,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island Cannon Power,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island Cannon Flying,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island Top Pillar Left,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island Top Pillar Right,0,0,,0,,0,,,
Sonic,Seaside Hill,Ruin Between First and Second Island,0,0,,0,,0,,,
Sonic,Seaside Hill,Second Island High Item Balloon,0,0,,0,,0,,,
Sonic,Seaside Hill,Second Island,0,0,,5,bazooka lance 3xredflapper,1,Speed Lvl Balloon,TripleSpring,
Sonic,Seaside Hill,Ruins After Second Island,0,0,,1,GreenShot,1,5Rings Box,HintRing,
Sonic,Seaside Hill,Before First Bobsled,0,0,,0,,0,,,
Sonic,Seaside Hill,First Bobsled Item Balloon Above,0,0,,0,,1,10 Rings Balloon,,
Sonic,Seaside Hill,First Bobsled,0,27,1x6 1x5 4x4,0,,3,,,
Sonic,Seaside Hill,,0,0,,0,,0,,,
Sonic,Seaside Hill,,0,0,,0,,0,,,
Sonic,Seaside Hill,,0,0,,0,,0,,,
Sonic,Seaside Hill,,0,0,,0,,0,,,
Sonic,Seaside Hill,,0,0,,0,,0,,,
Sonic,Seaside Hill,,0,0,,0,,0,,,
Sonic,Seaside Hill,First Island Cannon Flying,0,0,,0,,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
