Team,Level,Region,Name,Rule,LinkID,Power,Scale,NoControlTime,Item,X,Y,Z,Notes,Notes 2
Sonic,Seaside Hill,After Beginning Falling Ruins,5 Rings Triple Spring,TripleSpring,0,3,0,20,Rings5,-0.0004,40,-1442,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dark,Seaside Hill,After Beginning Falling Ruins,5 Rings Triple Spring,TripleSpring,0,2,0,30,Rings5,-0.0004,40,-1432,,
Dark,Seaside Hill,Lower Path After Beginning Flower Patch,5 Rings Triple Spring,TripleSpring,0,3.4999986,0,70,Rings5,-0.0004,160,-1932,,
Dark,Seaside Hill,Eggmans Robots Bottom,5 Rings Triple Spring,TripleSpring,0,2,0,20,Rings5,-415.4742,330,-6660.969,,
Dark,Seaside Hill,Top Cliff Route With Hermit Crab,5 Rings Triple Spring,TripleSpring,0,1,0,0,Rings5,-1697.694,520,-6389.736,,
Dark,Seaside Hill,First Ruin Between First and Second Island,Left 5 Rings Triple Spring,TripleSpring,0,2,0,20,Rings5,-4585.006,73.5,-11394.73,Left,
Dark,Seaside Hill,First Ruin Between First and Second Island,Right 5 Rings Triple Spring,TripleSpring,0,2,0,20,Rings5,-4525.006,73.5,-11394.73,Right,
Dark,Seaside Hill,Second Island,First 5 Rings Triple Spring,TripleSpring,0,2,0,10,Rings5,-4534.092,21.7605,-12103.58,First,
Dark,Seaside Hill,Second Island,Second 5 Rings Triple Spring,TripleSpring,0,2,0,20,Rings5,-4508.843,-4.9,-12752.63,Second,
Dark,Seaside Hill,Ruin After First Bobsled,5 Rings Triple Spring,TripleSpring,0,3.5000005,0,20,Rings5,-1577.504,29.99,-16150.56,,
Dark,Seaside Hill,Path Before Big Loop,5 Rings Triple Spring,BreakThingsANDTripleSpring,0,5,0,20,Rings5,-1720.006,350,-42013.09,in rock,
Dark,Seaside Hill,Big Loop,5 Rings Triple Spring,TripleSpring,0,10,0,40,Rings5,2052.116,10,-43083.47,,
